timestamp,temperature
2026-01-01T00:00:00,1.20
2026-01-01T01:00:00,1.35
2026-01-01T02:00:00,1.50
2026-01-01T03:00:00,1.65
2026-01-01T04:00:00,1.80
2026-01-01T05:00:00,1.95
2026-01-01T06:00:00,2.10
2026-01-01T07:00:00,2.25
2026-01-01T08:00:00,2.40
2026-01-01T09:00:00,2.55
2026-01-01T10:00:00,2.70
2026-01-01T11:00:00,2.85
2026-01-01T12:00:00,3.00
2026-01-01T13:00:00,3.15
2026-01-01T14:00:00,3.30
2026-01-01T15:00:00,3.45
2026-01-01T16:00:00,3.60
2026-01-01T17:00:00,3.75
2026-01-01T18:00:00,3.90
2026-01-01T19:00:00,4.05
2026-01-01T20:00:00,4.20
2026-01-01T21:00:00,4.35
2026-01-01T22:00:00,4.50
2026-01-01T23:00:00,4.65
2026-01-02T00:00:00,1.40
2026-01-02T01:00:00,1.55
2026-01-02T02:00:00,1.70
2026-01-02T03:00:00,1.85
2026-01-02T04:00:00,2.00
2026-01-02T05:00:00,2.15
2026-01-02T06:00:00,2.30
2026-01-02T07:00:00,2.45
2026-01-02T08:00:00,2.60
2026-01-02T09:00:00,2.75
2026-01-02T10:00:00,2.90
2026-01-02T11:00:00,3.05
2026-01-02T12:00:00,3.20
2026-01-02T13:00:00,3.35
2026-01-02T14:00:00,3.50
2026-01-02T15:00:00,3.65
2026-01-02T16:00:00,3.80
2026-01-02T17:00:00,3.95
2026-01-02T18:00:00,4.10
2026-01-02T19:00:00,4.25
2026-01-02T20:00:00,4.40
2026-01-02T21:00:00,4.55
2026-01-02T22:00:00,4.70
2026-01-02T23:00:00,4.85
2026-01-03T00:00:00,1.60
2026-01-03T01:00:00,1.75
2026-01-03T02:00:00,1.90
2026-01-03T03:00:00,2.05
2026-01-03T04:00:00,2.20
2026-01-03T05:00:00,2.35
2026-01-03T06:00:00,2.50
2026-01-03T07:00:00,2.65
2026-01-03T08:00:00,2.80
2026-01-03T09:00:00,2.95
2026-01-03T10:00:00,3.10
2026-01-03T11:00:00,3.25
2026-01-03T12:00:00,3.40
2026-01-03T13:00:00,3.55
2026-01-03T14:00:00,3.70
2026-01-03T15:00:00,3.85
2026-01-03T16:00:00,4.00
2026-01-03T17:00:00,4.15
2026-01-03T18:00:00,4.30
2026-01-03T19:00:00,4.45
2026-01-03T20:00:00,4.60
2026-01-03T21:00:00,4.75
2026-01-03T22:00:00,4.90
2026-01-03T23:00:00,5.05
2026-01-04T00:00:00,1.80
2026-01-04T01:00:00,1.95
2026-01-04T02:00:00,2.10
2026-01-04T03:00:00,2.25
2026-01-04T04:00:00,2.40
2026-01-04T05:00:00,2.55
2026-01-04T06:00:00,2.70
2026-01-04T07:00:00,2.85
2026-01-04T08:00:00,3.00
2026-01-04T09:00:00,3.15
2026-01-04T10:00:00,3.30
2026-01-04T11:00:00,3.45
2026-01-04T12:00:00,3.60
2026-01-04T13:00:00,3.75
2026-01-04T14:00:00,3.90
2026-01-04T15:00:00,4.05
2026-01-04T16:00:00,4.20
2026-01-04T17:00:00,4.35
2026-01-04T18:00:00,4.50
2026-01-04T19:00:00,4.65
2026-01-04T20:00:00,4.80
2026-01-04T21:00:00,4.95
2026-01-04T22:00:00,5.10
2026-01-04T23:00:00,5.25
